,price,bedroom,bathroom,sqm,developer,built_year,district,luxuary,public,BRT_distance,BTS_distance,MRT_distance,APL_distance,feature
2037,6000000,0,1,24,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,1,1,no,960,410,no,"['pool', 'Mini-Mart', 'sauna', 'security', 'car park', 'fitness']"
2038,16310000,1,1,49,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,0,0,no,no,510,no,"['view', 'security', 'car park', 'Air-Conditioning']"
2039,14000000,3,2,120,Quality Houses - ควอลิตี้ เฮ้าส์ จำกัด (มหาชน),2014,Bang Rak,0,0,no,90,no,no,['nan']
2040,13500000,1,1,50,SC Asset - เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),2018,Bang Rak,1,0,no,no,540,no,"['pool', 'sauna', 'security', 'car park', 'fitness']"
2041,102013714,3,3,209,Pace Development - เพซ ดีเวลลอปเมนท์ คอร์ปอเรชั่น จำกัด (มหาชน),2016,Bang Rak,0,0,no,210,no,no,"['pool', 'security', 'car park', 'fitness']"
2042,16000000,2,2,80,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2013,Bang Rak,0,0,no,270,no,no,"['pool', 'security', 'fitness']"
2043,7000000,1,1,31.98,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,0,0,no,480,no,no,['Renovated']
2044,9490000,1,1,35,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,2,2,no,480,no,no,"['pool', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'car park', 'fitness']"
2045,9900000,1,1,35,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2016,Bang Rak,2,2,no,480,no,no,"['pool', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'car park', 'fitness']"
2046,7000000,1,1,56,AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),2013,Bang Rak,0,0,no,270,no,no,"['pool', 'security', 'fitness']"
2047,11430000,1,1,52,Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),2022,Bang Rak,2,0,no,210,no,no,"['pool', 'sauna', 'security', 'Jacuzzi', 'fitness']"
2048,9400000,1,1,48,Major Development - เมเจอร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),2012,Bang Rak,0,0,no,560,560,no,"['pool', 'Karaoke', 'security', 'fitness']"
