,price
602,4656000
4698,2000000
1134,3200000
5571,13400000
4880,4200000
6381,2600000
3090,7660000
5132,1900000
2966,3250000
1954,6984000
2857,16500000
5713,4500000
2024,8500000
6030,2590000
3683,30000000
1035,6180000
2890,3990000
1753,15930000
833,7004000
5927,4330000
5201,3150000
2094,7045000
519,6592000
2936,2800000
5813,14500000
2244,3770000
3334,4990000
1419,9990000
298,7210000
2772,2200000
2844,2250000
4671,15000000
1760,16500000
93,4724953
7011,4300000
5717,17500000
5537,2270000
5155,3900000
2204,39900000
907,7725000
4486,6900000
284,8500000
5603,12250000
3731,29500000
2052,8900000
4984,7000000
7083,7200000
2070,5500000
5116,3150000
2603,74790380
4476,3150000
909,12000000
6254,10000000
990,30800000
5635,6480000
2181,17350000
6,10400000
1116,4130000
5687,16000000
3366,8000000
4483,5050000
5413,4500000
229,15330000
1588,5500000
2543,3050000
449,4900000
3174,6990000
6786,12300000
1096,3500000
1416,8710000
1921,6290000
4220,28500000
631,24800000
5886,4490000
3686,38625000
7113,5390000
7004,9700000
1396,2690000
6554,5290000
3662,43770000
1951,14220000
5329,12950000
814,9000000
1366,4200000
2205,45000000
2785,4500000
5416,4770000
6298,3370000
3907,16177000
2973,1600000
2231,22270000
2041,102013714
2856,3090000
6321,9800000
479,8200000
593,5700000
766,6000000
4367,14000000
1912,16500000
1591,7500000
4925,3000000
407,12900000
2417,26800000
6197,19800000
696,2850000
861,18500000
2228,74800000
1198,1890000
1088,2480000
3287,1600000
25,4900000
1917,58270180
2905,4850000
2624,4590000
7578,2500000
6718,3300000
7170,7900000
1909,14500000
5051,3290000
5958,2400000
2077,8200000
4516,2390000
821,10200000
6994,9900000
5498,13000000
6169,4500000
7137,19000000
6386,5500000
1208,4990000
203,8500000
5991,7900000
2196,11750000
2107,18700000
4295,11100000
5570,12500000
3290,9200000
5829,8950000
6997,6100000
6497,32000000
838,5960000
2496,2900000
140,6500000
1988,16400000
346,4200000
265,3100000
36,9290000
759,4200000
6034,16000000
7279,8100000
4535,2900000
386,2850000
3634,6500000
7026,3900000
5544,4630000
2843,1390000
4020,18000000
4833,4000000
2808,2700000
309,8400000
1129,2990000
6427,4000000
5928,15000000
5473,6990000
4498,2000000
372,8150000
6498,6200000
1634,25090000
3034,2800000
5191,12690000
775,7500000
1005,13900000
498,5800000
7611,5200000
4758,5900000
277,3756844
7540,7100000
2947,6000000
3544,58000000
6317,9100000
6742,7575000
749,14300000
7707,6050000
5716,2900000
3513,7850000
5526,7900000
130,4600000
5614,2390000
6047,7500000
5980,24000000
5739,6390000
4901,4500000
507,6400000
89,17000000
1709,13140000
2114,16390000
4715,4500000
359,18500
2367,62000000
1276,2500000
7232,7700000
5686,13000000
3432,9000000
2055,48964135
411,4550000
4449,2000000
3482,4300000
7672,4300000
1102,4000000
4868,3300000
1915,7590000
1154,2300000
4585,5000000
6216,12000000
2149,15500000
6647,5990000
3651,6200000
434,5500000
6252,14300000
1460,16200000
4976,4590000
2209,2750000
1015,10904810
1156,3299000
6599,3810000
5952,36000000
2693,3900000
6454,16500000
2717,10200000
2931,3200000
448,15560000
3114,3850000
2446,12000000
3162,5060000
877,11000000
836,5100000
5675,19700000
3542,24990000
471,8300000
6129,8200000
2199,22230000
5109,10500000
6555,18135000
1160,3200000
7029,4200000
1861,20500000
410,7090000
6772,30900000
845,6500000
7542,7200000
6290,4390000
7123,14500000
6247,6250000
5436,3600000
1518,26900000
1741,8000000
1392,11800000
798,4500000
65,7200000
178,5614965
1835,9990000
4450,5900000
3461,7850000
26,5260000
546,5745000
5855,5500000
4951,1340000
5705,3590000
2522,11900000
3172,30000
702,17000000
5878,19900000
7573,2854170
2623,28092573
1279,3500000
1828,53486316
5347,7154380
340,6690000
6436,12350000
3198,8300000
627,3715560
7434,2990000
2599,56700000
3962,28900000
1519,15700000
4507,5660000
1475,6000000
781,7900000
3330,1329000
233,5000000
7096,5700000
517,11185000
7,5500000
2098,48500000
951,24000000
3567,16000000
5700,5600000
5278,7144080
5310,24000000
2518,30000000
4342,22557000
3509,22000000
1295,2400000
5681,7090000
2042,16000000
6063,19000000
3611,18000000
1001,7830000
1800,27000000
2314,5300000
3528,41000000
2765,5885000
6049,3100000
6912,5990000
6164,2850000
138,5990000
6027,3390000
2142,14500000
256,8500000
6128,18500000
1144,4460000
2141,10290000
5338,6900000
4439,4980000
3557,24000000
6229,13800000
962,65000000
3070,3350000
2575,5200000
4811,4250000
1339,2200000
2872,4000000
5906,4200000
2451,111000000
2245,2500000
961,9270000
4756,3750000
2286,90000000
2860,3800000
1299,21500000
1143,2349000
7116,49500000
6790,3400000
2588,6900000
988,22557000
5569,6300000
1924,10094000
6712,5990000
5330,3590000
1308,5650000
6767,13300000
1163,9000000
7063,23900000
778,4200647
1006,9700000
3882,6300000
289,35000
5516,8280000
2946,2950000
2192,4500000
2099,18000000
3147,4400000
1885,10400000
3995,32900000
5984,4200000
6669,1800000
6215,13400000
3173,3500000
4679,2500000
4533,3150000
5129,2890000
7071,22000000
2647,13500000
3917,44000000
2981,4500000
6813,5399000
3335,3100000
6463,34000000
940,40000000
2834,4800000
7522,3860000
5640,4000000
6396,4500000
1808,8590000
4365,5090000
2176,22222300
6748,7800000
247,5400000
6048,17430000
4792,3100000
2171,6990000
3405,4831579
415,6200000
6920,6500000
50,6600000
3489,26000000
5266,19400000
3688,70000000
5768,7142020
582,3300000
2968,1600000
7008,9150000
4443,12000
6619,1890000
1206,4500000
9,8000000
5243,37000000
1789,5682000
2782,3650000
4921,4990000
1688,22160000
1125,2550000
7534,3500000
5860,9800000
7087,4531000
756,5100000
2001,103977137
6785,4017000
5922,4130000
2250,5000000
325,5100000
5995,40000000
1749,27900000
5108,3200000
440,13390000
3760,13153700
4632,1940000
5027,2000000
2780,1820000
568,8092200
267,17000
259,3330000
4504,2100000
7652,4890000
704,10760000
6505,18400000
172,4750000
1233,4300000
5543,5300000
1542,20800000
2011,19850000
5159,13500000
5316,7400000
5987,12900000
2005,7700000
733,5400000
4442,1900000
6537,7000000
5529,15000000
4451,5700000
2242,1840000
5135,6690000
2222,77250000
3794,109000000
6757,8650000
829,8229700
4877,3740000
6350,3990000
5092,14000000
563,7250000
5275,7000000
5690,15000000
4793,6500000
3526,19900000
2868,1250000
6368,5800000
7413,72000000
2921,3000000
930,47000000
4549,3650000
3698,23200000
5875,2400000
5499,3900000
7579,2890000
3435,4900000
1228,1990000
5466,4300000
4643,1930000
2826,6250000
3036,5500000
1387,3450000
7388,9250000
7272,3700000
75,5200000
4821,2080000
4626,3400000
5812,6380000
6621,27900000
2325,4800000
5164,7130000
3510,19900000
1526,4990000
2855,1350000
2542,2060000
5188,1850000
6927,16500000
4781,4070000
6780,6000000
997,28000000
6665,9560000
7483,5000000
890,4200000
5538,2300000
5199,4500000
6766,7990000
6195,4950000
3081,4738000
5750,2600000
3257,11890000
4724,1250000
1664,79460000
230,6900000
5966,2990000
2998,2720000
1956,41223800
5327,5200000
2867,3800000
5913,3150000
893,8500000
597,4500756
4808,3600000
5693,23700000
3393,6900000
2654,25000
155,7200000
493,5950000
5131,2890000
7177,3650000
1769,18330000
283,9700000
547,7187944
6584,4900000
3625,30000000
7623,5400000
1141,6600000
4911,3200000
392,6800000
1153,2400000
4310,31520000
6032,3170000
2712,10500000
4592,1800000
5637,3955000
4001,10272000
969,13500000
3273,4990000
210,11922779
6372,2900000
5074,1590000
6542,1850000
5450,3200000
4546,5900000
304,10500000
1552,14800000
548,1990000
6563,15500000
455,7609930
2247,2700000
1193,8800000
4630,12202800
4702,6955000
3422,27100000
5062,1650000
5824,4900000
2529,30943731
4813,6990000
6052,9500000
4755,6955000
1933,8300000
2619,30500000
6154,5300000
3642,34000000
2133,7000000
7149,19700000
47,6798000
2333,11250000
5147,2650000
409,4500000
1571,19900000
6272,46000000
2802,2300000
7526,9100000
6219,4100000
7021,7800000
4853,9000000
6642,15000000
1038,7400000
7084,6500000
6821,20500000
1494,21000000
2714,10900000
6943,3500000
242,4180005
2246,9500000
2428,5450000
3691,16100000
4390,6510000
1159,10590000
4983,1650000
850,10800000
6510,6159400
7132,8200000
6073,9200000
6167,13000000
3342,2590000
5292,20000000
1822,10395000
5540,10500000
4584,3950000
5652,7290000
6564,15850000
5395,5800000
34,5050000
